CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0389-2019/PROY-1-CMIN,0389-2019/PROY-1-CMIN,CMIN,0021-2020-OEFA/DSEM,RESOLUCIÓN,11/3/2020,12/3/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0389-2019-DSEM-CMIN,MINISTERIO DE ENERGIA Y MINAS,QUIRUVILCA
0021-2020/PROY-1-CMIN,0021-2020/PROY-1-CMIN,CMIN,0020-2020-OEFA/DSEM,RESOLUCIÓN,10/3/2020,11/3/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0021-2020-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,CARAHUACRA
0388-2019/PROY-1-CMIN,0388-2019/PROY-1-CMIN,CMIN,0090-2020-OEFA/DSEM,RESOLUCIÓN,3/12/2020,3/12/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0388-2019-DSEM-CMIN,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",TÍA MARÍA
0504-2018/PROY-1-CMIN,0504-2018/PROY-1-CMIN,CMIN,0064-2020-OEFA/DSEM,RESOLUCIÓN,22/9/2020,23/9/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0504-2018-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,ANDAYCHAGUA
0105-2020/PROY-1-CMIN,0105-2020/PROY-1-CMIN,CMIN,0044-2020-OEFA/DSEM,RESOLUCIÓN,17/7/2020,17/7/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0105-2020-DSEM-CMIN,COMPANIA MINERA ARES S.A.C.,ARES
0037-2020/PROY-1-CMIN,0037-2020/PROY-1-CMIN,CMIN,0033-2020-OEFA/DSEM,RESOLUCIÓN,29/5/2020,1/6/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0037-2020-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0083-2020/PROY-1-CMIN,0083-2020/PROY-1-CMIN,CMIN,0052-2020-OEFA/DSEM,RESOLUCIÓN,19/8/2020,20/8/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0083-2020-DSEM-CMIN,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",CUAJONE
0111-2020/PROY-1-CMIN,0111-2020/PROY-1-CMIN,CMIN,0070-2020-OEFA/DSEM,RESOLUCIÓN,29/9/2020,2/10/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0111-2020-DSEM-CMIN,RUC INVÁLIDO,SAN SEBASTIÁN
0135-2020/PROY-1-CMIN,0135-2020/PROY-1-CMIN,CMIN,0071-2020-OEFA/DSEM,RESOLUCIÓN,29/9/2020,2/10/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0135-2020-DSEM-CMIN,COMPAÑIA MINERA KOLPA S.A.,HUACHOCOLPA UNO
0085-2020/PROY-1-CMIN,0085-2020/PROY-1-CMIN,CMIN,0074-2020-OEFA/DSEM,RESOLUCIÓN,28/10/2020,29/10/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0085-2020-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0157-2020/PROY-1-CMIN,0157-2020/PROY-1-CMIN,CMIN,0063-2020-OEFA/DSEM,RESOLUCIÓN,21/9/2020,21/9/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0157-2020-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,COLQUIJIRCA
0140-2020/PROY-1-CMIN,0140-2020/PROY-1-CMIN,CMIN,0087-2020-OEFA/DSEM,RESOLUCIÓN,19/11/2020,23/11/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0140-2020-DSEM-CMIN,COMPAÑIA MINERA SAYAPULLO S. A. EN LIQUIDACION,PASIVOS AMBIENTALES MINEROS SAYAPULLO
0216-2020/PROY-1-CMIN,0216-2020/PROY-1-CMIN,CMIN,0076-2020-OEFA/DSEM,RESOLUCIÓN,30/10/2020,4/11/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0216-2020-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,COLQUIJIRCA
0010-2020/PROY-1-CMIN,0010-2020/PROY-1-CMIN,CMIN,0077-2020-OEFA/DSEM,RESOLUCIÓN,30/10/2020,4/11/2020,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0010-2020-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0166-2020/PROY-1-CMIN,0166-2020/PROY-1-CMIN,CMIN,0020-2021-OEFA/DSEM,RESOLUCIÓN,8/2/2021,9/2/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0166-2020-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0167-2020/PROY-1-CMIN,0167-2020/PROY-1-CMIN,CMIN,0015-2021-OEFA/DSEM,RESOLUCIÓN,1/2/2021,2/2/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0167-2020-DSEM-CMIN,RUC INVÁLIDO,PLANTA DE ÓXIDOS
0165-2020/PROY-1-CMIN,0165-2020/PROY-1-CMIN,CMIN,0081-2020-OEFA/DSEM,RESOLUCIÓN,13/11/2020,17/11/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0165-2020-DSEM-CMIN,LA ARENA S.A.,LA ARENA
0213-2020/PROY-1-CMIN,0213-2020/PROY-1-CMIN,CMIN,0088-2020-OEFA/DSEM,RESOLUCIÓN,23/11/2020,25/11/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0213-2020-DSEM-CMIN,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,COBRIZA
0301-2018/PROY-1-CMIN,0301-2018/PROY-1-CMIN,CMIN,0109-2020-OEFA/DSEM,RESOLUCIÓN,28/12/2020,30/12/2020,TFA,226-2020-OEFA/TFA-SE,0301-2018-DSEM-CMIN,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,COMPLEJO METALÚRGICO DE LA OROYA
0268-2020/PROY-1-CMIN,0268-2020/PROY-1-CMIN,CMIN,0001-2021-OEFA/DSEM,RESOLUCIÓN,13/1/2021,13/1/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0268-2020-DSEM-CMIN,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR
0243-2020/PROY-1-CMIN,0243-2020/PROY-1-CMIN,CMIN,0002-2021-OEFA/DSEM,RESOLUCIÓN,13/1/2021,14/1/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0243-2020-DSEM-CMIN,SHOUGANG HIERRO PERU S.A.A.,MARCONA
0380-2019/PROY-1-CMIN,0380-2019/PROY-1-CMIN,CMIN,0101-2020-OEFA/DSEM,RESOLUCIÓN,11/12/2020,11/12/2020,TFA,MEMORANDO N° 577-2020-OEFA/TFA-ST,0380-2019-DSEM-CMIN,MINERA LAS BAMBAS S.A.,LAS BAMBAS
0278-2020/PROY-2-CMIN,0278-2020/PROY-2-CMIN,CMIN,0009-2021-OEFA/DSEM,RESOLUCIÓN,28/1/2021,29/1/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0278-2020-DSEM-CMIN,SUMMA GOLD CORPORATION S.A.C.,EL TORO
0222-2020/PROY-1-CMIN,0222-2020/PROY-1-CMIN,CMIN,0016-2021-OEFA/DSEM,RESOLUCIÓN,1/2/2021,3/2/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0222-2020-DSEM-CMIN,RUC INVÁLIDO,LA VIRGEN
0177-2020/PROY-1-CMIN,0177-2020/PROY-1-CMIN,CMIN,0041-2021-OEFA/DSEM,RESOLUCIÓN,4/3/2021,4/3/2021,DEAM,MEMORANDO N° 078-2021-OEFA/DEAM,0177-2020-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0279-2020/PROY-1-CMIN,0279-2020/PROY-1-CMIN,CMIN,0033-2021-OEFA/DSEM,RESOLUCIÓN,25/2/2021,26/2/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0279-2020-DSEM-CMIN,MINERA CHINALCO PERÚ S.A.,TOROMOCHO
0185-2020/PROY-1-CMIN,0185-2020/PROY-1-CMIN,CMIN,0167-2021-OEFA/DSEM,RESOLUCIÓN,30/9/2021,1/10/2021,DEAM,MEMORANDO N° 387-2021-OEFA/DEAM,0185-2020-DSEM-CMIN,CORPORACION MINERA CENTAURO S.A.C.,QUICAY
0177-2020/PROY-2-CMIN,0177-2020/PROY-2-CMIN,CMIN,0043-2021-OEFA/DSEM,RESOLUCIÓN,5/3/2021,8/3/2021,DEAM,MEMORANDO N° 078-2021-OEFA/DEAM,0177-2020-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0006-2021/PROY-1-CMIN,0006-2021/PROY-1-CMIN,CMIN,0081-2021-OEFA/DSEM,RESOLUCIÓN,3/5/2021,3/5/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0006-2021-DSEM-CMIN,MINISTERIO DE ENERGIA Y MINAS,QUIRUVILCA
0016-2021/PROY-1-CMIN,0016-2021/PROY-1-CMIN,CMIN,0154-2021-OEFA/DSEM,RESOLUCIÓN,31/8/2021,1/9/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0016-2021-DSEM-CMIN,NEXA RESOURCES ATACOCHA S.A.A.,ATACOCHA
0012-2021/PROY-1-CMIN,0012-2021/PROY-1-CMIN,CMIN,0144-2021-OEFA/DSEM,RESOLUCIÓN,25/8/2021,27/8/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0012-2021-DSEM-CMIN,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",CUAJONE
0054-2021/PROY-1-CMIN,0054-2021/PROY-1-CMIN,CMIN,0110-2021-OEFA/DSEM,RESOLUCIÓN,30/6/2021,30/6/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0054-2021-DSEM-CMIN,"SOUTH METALLURGICAL RESOURCES, INC",WOLFRAMFED I
0063-2021/PROY-1-CMIN,0063-2021/PROY-1-CMIN,CMIN,0151-2021-OEFA/DSEM,RESOLUCIÓN,31/8/2021,1/9/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0063-2021-DSEM-CMIN,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,COBRIZA
0006-2021/PROY-2-CMIN,0006-2021/PROY-2-CMIN,CMIN,0080-2021-OEFA/DSEM,RESOLUCIÓN,3/5/2021,3/5/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0006-2021-DSEM-CMIN,COMPAÑIA MINERA QUIRUVILCA S.A. EN LIQUIDACION,QUIRUVILCA
0021-2021/PROY-1-CMIN,0021-2021/PROY-1-CMIN,CMIN,0099-2021-OEFA/DSEM,RESOLUCIÓN,31/5/2021,2/6/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0021-2021-DSEM-CMIN,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,COMPLEJO METALÚRGICO DE LA OROYA
0079-2021/PROY-1-CMIN,0079-2021/PROY-1-CMIN,CMIN,0152-2021-OEFA/DSEM,RESOLUCIÓN,31/8/2021,1/9/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0079-2021-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0057-2021/PROY-1-CMIN,0057-2021/PROY-1-CMIN,CMIN,0112-2021-OEFA/DSEM,RESOLUCIÓN,30/6/2021,2/7/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0057-2021-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,ANDAYCHAGUA
0104-2021/PROY-1-CMIN,0104-2021/PROY-1-CMIN,CMIN,0177-2021-OEFA/DSEM,RESOLUCIÓN,22/10/2021,26/10/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0104-2021-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,COLQUIJIRCA
0059-2021/PROY-1-CMIN,0059-2021/PROY-1-CMIN,CMIN,0147-2021-OEFA/DSEM,RESOLUCIÓN,31/8/2021,1/9/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0059-2021-DSEM-CMIN,COMPAÑIA MINERA SANTANDER SOCIEDAD ANONIMA CERRADA,SANTANDER
0111-2021/PROY-1-CMIN,0111-2021/PROY-1-CMIN,CMIN,0186-2021-OEFA/DSEM,RESOLUCIÓN,15/11/2021,17/11/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0111-2021-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0125-2021/PROY-1-CMIN,0125-2021/PROY-1-CMIN,CMIN,0150-2021-OEFA/DSEM,RESOLUCIÓN,31/8/2021,1/9/2021,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0125-2021-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,CARAHUACRA
0284-2020/PROY-1-CMIN,0284-2020/PROY-1-CMIN,CMIN,0203-2021-OEFA/DSEM,RESOLUCIÓN,29/11/2021,30/11/2021,A SOLICITUD DE ENTIDAD EXTERNA,Oficio N° 00551-2021-MINAM/VMGA/DGPIGA,0284-2020-DSEM-CMIN,MINERA CHINALCO PERÚ S.A.,TOROMOCHO
0030-2021/PROY-2-CMIN,0030-2021/PROY-2-CMIN,CMIN,0162-2021-OEFA/DSEM,RESOLUCIÓN,29/9/2021,1/10/2021,A SOLICITUD DE ENTIDAD EXTERNA,OFICIO Nº 00432-2021-SENACE-PE/DEAR,0030-2021-DSEM-CMIN,SOCIEDAD MINERA RELIQUIAS S.A.C.,CAUDALOSA GRANDE Y RELÍQUIAS
